action: resupply[$c1],action: resupply[$c2],action: resupply[$c3],action: resupply[$c4],states: quant[$c1],states: quant[$c2],states: quant[$c3],states: quant[$c4]
87,54,65,179,0,0,0,0
0,0,0,486,87,54,65,179
0,187,0,167,82,46,63,309
441,22,0,0,77,59,61,324
306,0,0,120,72,51,59,318
0,133,0,189,88,43,57,312
0,214,17,0,83,56,55,327
426,0,0,0,78,48,53,321
150,228,0,0,94,40,51,315
0,0,0,450,110,32,49,309
109,356,0,0,105,24,47,324
0,9,486,0,121,16,45,318
0,0,93,79,116,17,64,312
96,5,0,201,111,9,74,318
0,0,190,51,115,1,72,312
0,0,460,0,110,0,84,320
0,0,134,347,105,0,82,314
446,0,0,0,100,0,92,320
183,0,279,0,96,0,90,314
48,112,0,164,104,0,88,308
0,0,203,117,112,0,86,302
0,103,0,253,107,0,97,309
0,434,0,0,102,0,95,303
143,101,0,146,97,13,93,297
230,188,48,27,113,5,91,291
0,399,0,0,126,0,89,285
13,0,190,0,121,13,87,279
156,0,303,0,129,5,93,273
0,0,51,141,142,0,91,267
23,0,466,0,137,0,102,274
457,0,8,0,132,0,100,268
34,402,0,0,140,0,98,262
0,409,0,0,148,0,96,256
0,394,23,0,143,13,94,250
0,248,0,228,138,26,113,244
0,0,0,447,133,18,111,238
0,172,18,234,128,10,109,253
126,39,72,0,123,23,125,268
0,262,0,213,118,15,123,262
0,0,294,184,113,10,121,259
81,193,0,0,108,2,137,271
0,0,0,483,103,0,135,265
390,0,0,0,98,0,133,269
0,178,245,30,106,0,131,263
0,60,0,296,101,13,142,270
0,0,251,0,96,5,140,264
222,19,160,0,91,0,151,258
6,0,0,321,99,0,149,252
59,0,200,0,100,0,147,253
212,0,152,101,108,0,145,247
377,0,0,0,116,0,143,241
0,47,362,14,124,0,141,235
0,369,0,68,119,13,152,242
0,361,0,136,114,5,150,236
85,0,8,125,109,13,148,243
0,436,0,0,112,5,146,237
0,218,163,0,107,18,144,231
294,0,0,55,102,31,163,225
0,24,0,401,97,23,161,219
128,8,0,288,92,36,159,234
15,0,0,449,87,28,157,228
0,345,0,153,97,20,155,228
210,169,0,114,92,33,153,243
19,0,15,400,87,25,151,237
154,0,0,263,101,17,151,233
478,0,0,0,115,9,149,227
282,0,208,0,131,1,147,221
207,0,0,0,140,0,145,215
0,0,0,479,148,0,143,209
0,111,193,0,143,0,141,216
0,289,199,0,138,13,152,210
79,127,275,0,133,13,158,204
153,0,0,95,141,5,156,198
0,0,379,0,154,0,154,192
64,16,10,0,149,0,165,186
170,20,0,207,157,0,163,180
268,148,0,0,165,0,161,174
0,429,0,0,173,0,159,168
0,306,0,0,168,13,157,162
0,0,223,200,163,26,155,156
0,0,8,383,158,18,174,171
8,0,0,309,153,10,172,165
196,0,2,33,156,2,170,172
21,133,130,34,166,0,168,166
0,0,336,124,174,0,166,160
0,380,0,0,169,0,177,167
0,91,217,79,164,0,175,161
217,216,0,4,159,13,186,168
6,0,42,256,154,5,184,162
44,66,80,0,155,0,189,163
128,0,171,0,156,0,187,157
165,0,0,292,164,0,185,151
0,0,265,0,172,0,183,145
131,320,0,0,167,0,194,139
0,0,381,0,175,0,192,133
432,0,0,0,170,0,203,127
0,0,86,94,178,0,201,121
108,0,0,302,173,0,212,128
0,468,0,0,168,0,210,122
238,76,121,0,163,13,208,116
5,0,230,111,0,0,0,0
102,0,268,0,5,0,230,111
68,0,347,13,102,0,293,105
18,458,0,0,110,0,291,99
0,278,135,0,118,0,289,93
0,0,203,245,113,13,300,87
0,54,273,45,108,5,306,89
0,0,298,43,103,10,314,93
24,228,0,0,98,2,313,88
0,304,178,0,107,0,311,82
464,0,0,0,102,13,322,76
298,43,144,0,105,5,320,70
0,124,148,0,118,0,318,64
67,222,0,0,113,13,329,58
0,0,0,484,116,5,327,52
0,17,425,0,111,0,325,64
355,39,0,0,106,13,336,58
0,0,0,459,109,5,334,52
0,0,394,0,104,0,332,64
140,353,0,0,99,0,343,58
0,0,359,0,107,0,341,52
27,0,454,0,102,0,352,46
19,0,0,430,110,0,350,40
0,172,278,0,118,0,348,34
228,29,0,110,113,13,359,28
51,247,187,4,116,5,357,22
133,29,0,334,129,0,355,16
0,272,34,0,137,0,353,10
0,349,0,0,132,13,364,4
450,0,0,0,127,11,362,0
426,0,0,0,137,3,360,0
12,261,84,0,142,0,358,0
0,132,0,310,144,0,356,0
242,0,237,0,139,7,354,7
0,0,0,481,147,0,352,1
0,0,136,335,142,0,350,8
0,104,0,331,137,0,361,15
243,47,0,176,132,0,359,9
345,0,0,146,140,0,357,3
0,32,333,0,145,0,355,0
356,27,0,0,140,7,360,0
139,245,105,0,142,0,358,0
0,29,0,386,144,0,356,0
334,0,0,98,139,7,354,7
151,254,0,49,147,0,352,1
0,42,147,268,150,0,350,0
0,0,315,125,145,7,355,7
0,0,130,344,140,0,359,7
0,0,0,387,135,0,364,8
495,0,0,0,130,0,362,8
0,425,0,0,138,0,360,2
47,278,13,0,133,9,358,0
0,117,355,0,143,1,356,0
368,0,0,36,138,8,362,0
47,160,79,179,140,0,360,0
350,130,0,0,142,0,358,0
0,0,181,296,144,0,356,0
0,0,2,465,139,0,361,7
31,0,0,280,134,0,361,7
67,255,0,107,140,0,359,1
0,94,0,212,143,0,357,0
0,281,0,31,138,7,355,7
464,0,25,0,133,13,353,14
45,0,426,0,136,5,351,8
0,0,193,152,149,0,349,2
134,0,220,0,144,0,356,9
33,30,20,219,143,0,354,3
0,0,109,82,148,0,352,0
25,295,0,39,143,0,357,7
91,0,76,3,144,0,355,1
0,390,0,40,147,0,353,0
68,48,183,0,142,7,351,7
0,119,274,43,150,0,349,1
0,0,442,0,145,8,355,8
39,375,0,0,140,0,358,2
0,226,17,0,144,0,356,0
