states: quant[$c1],states: quant[$c2],states: quant[$c3],states: quant[$c4]
0,238,0,0
0,500,133,0
0,492,131,0
0,484,129,0
0,476,127,0
0,468,125,0
0,460,123,0
0,452,121,0
0,444,119,0
0,436,117,0
0,428,115,0
0,420,113,0
0,412,111,0
0,404,109,0
0,396,107,0
0,395,105,0
0,397,103,0
0,399,111,0
0,391,109,0
0,383,117,10
6,375,115,4
20,367,113,0
30,359,111,0
25,366,109,0
35,358,107,0
30,365,120,15
25,357,118,9
20,361,116,15
24,353,114,9
40,345,112,3
53,337,110,0
63,329,108,0
58,321,106,15
53,313,104,30
69,305,102,24
64,297,121,39
59,289,119,33
75,281,117,27
70,273,136,21
65,265,155,36
60,257,153,30
76,249,151,24
71,241,149,39
66,254,147,33
66,262,161,43
61,254,159,37
66,246,157,31
61,241,155,46
74,233,153,40
90,225,151,34
102,221,149,32
114,213,147,26
109,205,166,20
125,197,164,14
120,189,162,29
136,181,160,23
152,173,158,17
168,165,156,11
184,157,154,5
199,149,152,0
209,141,150,0
212,133,155,7
207,125,167,15
209,117,165,9
225,109,163,3
220,119,161,0
230,111,159,0
240,103,157,0
250,95,155,0
245,87,168,15
240,85,172,9
250,77,170,3
245,69,186,18
243,61,184,12
259,53,182,6
275,45,180,0
270,52,178,15
271,44,176,9
266,36,195,3
261,46,193,18
256,38,191,15
251,51,210,30
246,43,208,24
241,35,206,18
236,48,204,12
252,40,202,6
268,32,200,0
263,24,213,15
258,16,211,15
274,8,209,9
290,0,207,3
285,10,215,0
285,2,213,0
280,9,220,9
275,4,218,6
270,0,216,14
265,13,214,21
260,13,220,15
268,5,218,9
281,0,216,3
0,3,483,0
19,0,481,0
21,0,479,0
16,7,477,0
25,0,475,0
27,0,473,0
22,0,478,0
24,0,476,0
26,0,474,0
28,0,472,0
30,0,470,0
25,7,475,0
20,7,480,7
21,0,478,1
24,0,476,0
26,0,474,0
28,0,472,0
30,0,470,0
32,0,468,0
34,0,466,0
36,0,464,0
38,0,462,0
40,0,460,0
42,0,458,0
44,0,456,0
39,0,454,7
34,0,465,14
29,0,463,8
24,0,474,2
28,0,472,0
23,7,470,0
18,14,468,0
28,6,466,0
36,0,464,0
31,7,462,0
40,0,460,0
38,4,458,4
33,11,456,11
28,3,464,15
23,6,462,9
37,0,460,3
42,0,458,0
44,0,456,0
39,0,461,0
41,0,459,0
36,0,457,7
44,0,455,1
39,8,461,0
34,7,459,0
29,14,471,0
24,6,470,1
32,0,468,0
27,7,466,0
22,14,472,14
17,6,470,8
12,18,468,20
7,10,469,17
2,20,467,29
0,12,465,23
16,4,463,17
11,0,461,28
6,13,459,22
22,5,457,16
35,0,455,10
30,13,453,4
25,24,451,0
20,16,464,0
30,8,462,0
40,0,460,0
42,0,458,0
44,0,456,0
39,7,454,7
47,0,452,1
42,0,458,0
37,0,456,7
32,13,467,14
27,5,465,8
22,13,463,15
25,5,461,9
20,0,477,3
25,0,475,0
27,0,473,0
22,0,471,7
17,0,482,14
12,0,480,8
7,13,478,15
2,5,476,17
0,15,474,26
1,7,472,20
0,0,486,30
0,0,484,24
0,0,482,18
8,0,480,12
3,13,486,19
0,5,484,13
0,0,493,7
8,0,491,1
3,8,497,8
0,0,498,5
0,4,496,4
0,0,367,0
135,0,365,0
130,7,363,7
138,0,361,1
133,8,367,8
128,0,370,2
132,0,368,0
134,0,366,0
129,7,364,5
124,14,372,0
124,6,370,0
132,0,368,0
134,0,366,0
129,0,371,0
124,0,376,7
125,0,374,1
120,8,372,8
128,0,370,2
130,2,368,0
134,0,366,0
129,7,364,7
124,13,375,14
119,5,373,8
114,0,371,15
109,13,369,22
104,5,375,24
99,10,383,28
95,2,381,22
105,0,379,16
100,13,377,10
101,5,375,19
96,18,391,31
91,10,389,25
92,2,387,19
102,0,385,13
110,0,383,7
105,0,394,1
108,0,392,0
110,0,390,0
112,0,388,0
107,0,393,0
102,7,391,7
110,0,389,1
113,0,387,0
115,0,385,0
110,7,390,7
111,0,388,1
114,0,386,0
109,7,391,0
104,7,396,7
105,0,394,1
100,8,400,0
102,0,398,0
104,0,396,0
99,7,394,0
94,14,406,14
89,6,404,8
84,12,402,2
96,4,400,0
91,11,398,0
86,3,411,15
81,1,409,9
90,0,407,3
95,0,405,0
90,7,403,7
98,0,401,1
93,0,407,8
88,0,410,2
92,0,408,0
87,7,406,7
95,0,404,1
90,8,410,8
85,5,413,2
89,0,411,0
84,7,416,0
79,7,421,0
74,7,419,0
83,0,417,0
85,0,415,0
87,0,413,0
82,7,418,0
84,0,416,0
79,0,414,7
74,0,425,1
69,8,431,0
64,0,436,7
65,0,434,1
68,0,432,0
63,0,430,7
71,0,428,1
74,0,426,0
69,0,431,7
64,6,435,7
59,7,440,1
62,0,438,0
64,0,436,0
59,7,434,0
54,14,432,14
49,13,430,8
65,5,428,2
104,40,187,0
99,216,339,0
94,208,337,0
89,200,335,0
84,192,333,0
79,184,331,0
74,176,329,0
69,168,327,0
64,160,325,0
59,152,323,0
54,144,321,0
49,136,319,0
44,139,317,11
49,131,315,5
44,123,333,0
54,115,331,0
63,108,329,1
58,100,342,15
53,98,346,15
48,90,353,9
64,82,351,3
59,74,349,18
75,66,347,12
91,58,345,6
107,50,343,0
117,42,341,0
127,34,339,0
122,26,337,15
117,18,356,14
112,26,370,24
107,18,368,18
102,10,376,22
108,2,374,16
103,8,372,25
111,0,370,19
106,13,368,13
122,5,366,7
135,0,364,1
130,8,370,5
132,0,368,0
127,7,366,7
135,0,364,1
130,8,362,0
140,0,360,0
135,0,365,7
136,0,363,1
131,8,361,0
141,0,359,0
143,0,357,0
138,7,362,0
140,0,360,0
135,0,365,0
137,0,363,0
139,0,361,0
141,0,359,0
143,0,357,0
138,7,362,7
133,6,360,1
142,0,358,0
137,7,363,7
133,0,361,6
141,0,359,0
136,7,357,7
144,0,355,1
139,8,361,8
139,0,359,2
134,9,366,0
135,1,364,0
138,0,362,0
133,7,360,7
128,0,371,14
123,0,369,8
131,0,367,2
126,9,374,9
124,1,372,3
119,11,370,0
114,3,383,15
109,0,381,10
104,0,392,17
99,0,390,11
94,13,388,5
109,5,386,0
104,0,396,0
99,7,401,0
101,0,399,0
96,7,404,7
91,6,402,7
86,13,400,1
97,5,398,0
104,0,396,0
106,0,394,0
108,0,392,0
107,0,393,3
109,0,391,0
111,0,389,0
106,7,387,7
114,0,385,1
117,0,383,0
112,7,388,0
114,0,386,0
226,29,0,0
479,21,0,0
474,13,13,0
469,5,26,9
464,9,24,12
471,1,22,6
466,0,20,14
461,13,31,8
456,5,37,2
451,0,35,14
459,0,33,8
454,13,31,2
466,5,29,0
461,0,39,12
457,0,37,6
452,0,48,0
454,0,46,0
449,7,51,7
444,0,55,7
446,0,53,1
441,3,51,8
436,13,62,2
431,9,64,0
426,1,62,11
435,0,60,5
430,0,70,12
425,1,68,6
420,14,80,0
416,6,78,0
411,0,76,13
406,0,87,20
401,0,85,14
396,13,96,21
391,5,94,15
386,13,92,9
381,26,90,24
376,18,88,18
371,10,86,33
387,2,84,27
382,15,82,21
377,28,101,36
372,20,99,30
367,12,97,24
383,4,95,18
378,0,110,29
373,0,108,23
368,9,106,26
363,1,104,32
358,14,102,40
360,6,100,34
355,0,117,47
350,0,115,41
345,7,113,42
340,13,124,49
335,5,122,43
330,13,120,50
325,13,118,52
333,5,116,46
346,0,114,40
354,0,112,34
349,13,123,28
344,13,121,30
339,18,132,24
334,10,138,26
329,15,136,33
324,7,142,35
319,12,140,29
314,25,159,44
309,17,157,38
304,9,155,32
299,22,174,26
294,14,172,20
310,6,170,14
305,0,187,27
300,0,185,21
302,0,183,15
310,0,181,9
318,0,179,3
313,10,177,10
319,2,175,4
314,11,173,13
309,3,181,17
310,0,179,11
305,0,190,5
300,0,188,12
295,0,186,19
303,0,184,13
311,0,182,7
319,0,180,1
314,8,178,8
322,0,176,2
317,9,183,9
312,4,184,6
307,11,182,0
317,3,180,0
322,0,178,0
324,0,176,0
319,7,181,7
320,0,179,1
315,0,185,8
248,0,0,9
243,0,0,257
238,0,0,262
233,0,11,267
230,0,9,261
225,13,7,255
241,5,5,249
236,0,21,261
231,0,19,255
234,0,17,249
242,0,15,243
250,0,13,237
258,0,11,231
266,0,9,225
261,0,7,232
269,0,5,226
277,0,3,220
285,0,1,214
292,0,0,208
287,0,11,213
282,2,9,209
290,0,7,203
298,0,5,197
